row_index,original_text,augmented_text,augmentation_type,short_description_of_changed_words
124,I found a hair in my food.,I adenine found a hair in my food.,insertion,inserted: adenine
124,I found a hair in my food.,food. found a hair in my I,swap,I <-> food.
124,I found a hair in my food.,I found a hair pilus in my food.,insertion,inserted: pilus
125,The service was very slow.,The service was very slow.,deletion,none
125,The service was very slow.,The service was slow.,deletion,deleted: very
125,The service was very slow.,The service was very slow.,deletion,none
126,Can I get another glass of water?,sack I get another glass of water?,synonym,Can -> sack
126,Can I get another glass of water?,Can I get some other glass of water?,synonym,another -> some other
126,Can I get another glass of water?,Can I get another glass of water?,deletion,none
127,Great atmosphere and friendly staff.,groovy Great atmosphere and friendly staff.,insertion,inserted: groovy
127,Great atmosphere and friendly staff.,staff. atmosphere and friendly Great,swap,Great <-> staff.
127,Great atmosphere and friendly staff.,favorable Great atmosphere and friendly staff.,insertion,inserted: favorable
128,I’ll definitely come back again.,definitely I’ll come back again.,swap,I’ll <-> definitely
128,I’ll definitely come back again.,definitely come back again.,deletion,deleted: I’ll
128,I’ll definitely come back again.,I’ll definitely hail back again.,synonym,come -> hail
129,The food was delicious.,was food The delicious.,swap,was <-> The
129,The food was delicious.,The food was,deletion,deleted: delicious.
129,The food was delicious.,The food was delicious.,deletion,none
130,Do you have any gluten-free options?,Do whatever you have any gluten-free options?,insertion,inserted: whatever
130,Do you have any gluten-free options?,Do you have whatsoever gluten-free options?,synonym,any -> whatsoever
130,Do you have any gluten-free options?,Do you have whatever gluten-free options?,synonym,any -> whatever
131,"Yes, I’d like the salmon, please.","Yes, I’d wish the salmon, please.",synonym,like -> wish
131,"Yes, I’d like the salmon, please.","Yes, I’d like the salmon, please.",deletion,none
131,"Yes, I’d like the salmon, please.","Yes, like I’d the salmon, please.",swap,I’d <-> like
132,"Can I get a table for two, please?","Can I get a table tabularize for two, please?",insertion,inserted: tabularize
132,"Can I get a table for two, please?","Can I fix a table for two, please?",synonym,get -> fix
132,"Can I get a table for two, please?","Can ane get a table for two, please?",synonym,I -> ane
133,Do you have a table near the window?,Do you window? a table near the have,swap,window? <-> have
133,Do you have a table near the window?,Do you have a table near the window?,deletion,none
133,Do you have a table near the window?,Do you have a mesa near the window?,synonym,table -> mesa
134,"Can I get a table for two, please?","Can I get a table for two, please?",deletion,none
134,"Can I get a table for two, please?","get I Can a table for two, please?",swap,Can <-> get
134,"Can I get a table for two, please?","Can I get a table for two, please?",deletion,none
135,We'd like to order now.,We'd comparable to order now.,synonym,like -> comparable
135,We'd like to order now.,We'd like to order the likes of now.,insertion,inserted: the likes of
135,We'd like to order now.,We'd like to say now.,synonym,order -> say
136,"Yes, we’re ready to order.","Yes, ready order.",deletion,"deleted: we’re, to"
136,"Yes, we’re ready to order.","Yes, ready we’re to order.",swap,ready <-> we’re
136,"Yes, we’re ready to order.","Yes, we’re ready to order.",deletion,none
137,Is gratuity included in the bill?,Is gratuity inward included in the bill?,insertion,inserted: inward
137,Is gratuity included in the bill?,Is gratuity included in the bill?,deletion,none
137,Is gratuity included in the bill?,gratuity Is included in the bill?,swap,Is <-> gratuity
138,"Can I get a table for two, please?","Can I get table a for two, please?",swap,a <-> table
138,"Can I get a table for two, please?","table I get a Can for two, please?",swap,table <-> Can
138,"Can I get a table for two, please?","Can I get a mesa for two, please?",synonym,table -> mesa
139,The pasta was amazing!,The pasta represent was amazing!,insertion,inserted: represent
139,The pasta was amazing!,The pasta was amazing!,deletion,none
139,The pasta was amazing!,The comprise pasta was amazing!,insertion,inserted: comprise
140,Best restaurant in town!,Best eatery in town!,synonym,restaurant -> eatery
140,Best restaurant in town!,Best restaurant in town! unspoiled,insertion,inserted: unspoiled
140,Best restaurant in town!,Best eating house in town!,synonym,restaurant -> eating house
141,This was a fantastic dining experience.,This fantastical was a fantastic dining experience.,insertion,inserted: fantastical
141,This was a fantastic dining experience.,This angstrom unit was a fantastic dining experience.,insertion,inserted: angstrom unit
141,This was a fantastic dining experience.,This fantastic a was dining experience.,swap,was <-> fantastic
142,The food was delicious.,The food equal delicious.,synonym,was -> equal
142,The food was delicious.,food The was delicious.,swap,The <-> food
142,The food was delicious.,food delicious.,deletion,"deleted: The, was"
143,Do you take reservations?,Do reservations? take you,swap,you <-> reservations?
143,Do you take reservations?,Do you take reservations?,deletion,none
143,Do you take reservations?,take you Do reservations?,swap,take <-> Do
144,Do you have a table near the window?,Do you have a near the window?,deletion,deleted: table
144,Do you have a table near the window?,Do you have a table near the window?,deletion,none
144,Do you have a table near the window?,Do you have a table near window?,deletion,deleted: the
145,"Sure, I’ll wait at the bar.","Sure, I’ll the at wait bar.",swap,the <-> wait
145,"Sure, I’ll wait at the bar.","Sure, bar. wait at the I’ll",swap,bar. <-> I’ll
145,"Sure, I’ll wait at the bar.","Sure, I’ll wait at the bar. postponement",insertion,inserted: postponement
146,"Yes, everything’s great.","Yes, everything’s great.",deletion,none
146,"Yes, everything’s great.","Yes, everything’s great.",synonym,
146,"Yes, everything’s great.","Yes, great. everything’s",swap,great. <-> everything’s
147,Great atmosphere and friendly staff.,staff. atmosphere and friendly Great,swap,Great <-> staff.
147,Great atmosphere and friendly staff.,Great atmosphere aura and friendly staff.,insertion,inserted: aura
147,Great atmosphere and friendly staff.,bang-up atmosphere and friendly staff.,synonym,Great -> bang-up
148,The food doesn’t taste fresh.,The intellectual nourishment doesn’t taste fresh.,synonym,food -> intellectual nourishment
148,The food doesn’t taste fresh.,The food doesn’t taste sense of taste fresh.,insertion,inserted: sense of taste
148,The food doesn’t taste fresh.,The food doesn’t try out fresh.,synonym,taste -> try out
149,Is gratuity included in the bill?,Is the included in gratuity bill?,swap,the <-> gratuity
149,Is gratuity included in the bill?,Is pourboire included in the bill?,synonym,gratuity -> pourboire
149,Is gratuity included in the bill?,Is gratuity included in the embody bill?,insertion,inserted: embody
150,Do you have outdoor seating?,Do you have outdoor seating?,deletion,none
150,Do you have outdoor seating?,Do have outdoor seating?,deletion,deleted: you
150,Do you have outdoor seating?,Do have you outdoor seating?,swap,have <-> you
151,Our reservation was not honored.,reservation was not honored.,deletion,deleted: Our
151,Our reservation was not honored.,Our not was reservation honored.,swap,not <-> reservation
151,Our reservation was not honored.,was not honored.,deletion,"deleted: Our, reservation"
152,"That’s perfect, thank you.","That’s perfect, thank give thanks you.",insertion,inserted: give thanks
152,"That’s perfect, thank you.","That’s perfect, thank give thanks you.",insertion,inserted: give thanks
152,"That’s perfect, thank you.","That’s perfect, thank you.",insertion,none
153,"Yes, I’d like the salmon, please.","Yes, I’d alike the salmon, please.",synonym,like -> alike
153,"Yes, I’d like the salmon, please.","Yes, I’d similar the salmon, please.",synonym,like -> similar
153,"Yes, I’d like the salmon, please.","Yes, I’d like the please. salmon,",swap,"please. <-> salmon,"
154,We had a lovely time.,We had angstrom lovely time.,synonym,a -> angstrom
154,We had a lovely time.,We had a lovely time.,deletion,none
154,We had a lovely time.,suffer We had a lovely time.,insertion,inserted: suffer
155,"Sure, I’ll wait at the bar.","Sure, I’ll wait at the bar.",deletion,none
155,"Sure, I’ll wait at the bar.","Sure, I’ll wait at the bar.",deletion,none
155,"Sure, I’ll wait at the bar.","Sure, I’ll await at the bar.",synonym,wait -> await
156,Can I see the wine list?,Can I see list? wine the,swap,list? <-> the
156,Can I see the wine list?,Can I the see wine list?,swap,see <-> the
156,Can I see the wine list?,butt Can I see the wine list?,insertion,inserted: butt
157,The steak is undercooked.,The undercooked. is steak,swap,steak <-> undercooked.
157,The steak is undercooked.,steak The is undercooked.,swap,steak <-> The
157,The steak is undercooked.,The steak is undercooked.,deletion,none
158,"Can we have the bill, please?","Can we please? the bill, have",swap,have <-> please?
158,"Can we have the bill, please?","Can we give birth the bill, please?",synonym,have -> give birth
158,"Can we have the bill, please?","stimulate Can we have the bill, please?",insertion,inserted: stimulate
159,Could you bring us the dessert menu?,Could you bring united states the dessert menu?,synonym,us -> united states
159,Could you bring us the dessert menu?,Could bring you us the dessert menu?,swap,you <-> bring
159,Could you bring us the dessert menu?,Could make for you bring us the dessert menu?,insertion,inserted: make for
160,"Sure, I’ll wait at the bar.","Sure, I’ll wait astatine at the bar.",insertion,inserted: astatine
160,"Sure, I’ll wait at the bar.","Sure, I’ll wait at atomic number 85 the bar.",insertion,inserted: atomic number 85
160,"Sure, I’ll wait at the bar.","Sure, I’ll wait waiting at the bar.",insertion,inserted: waiting
161,I’ll definitely come back again.,I’ll definitely come back get again.,insertion,inserted: get
161,I’ll definitely come back again.,I’ll definitely come back again.,deletion,none
161,I’ll definitely come back again.,I’ll definitely come back again. rachis,insertion,inserted: rachis
162,What’s the soup of the day?,What’s the soup of the day?,synonym,
162,What’s the soup of the day?,What’s soup of day?,deletion,deleted: the
162,What’s the soup of the day?,What’s the soup of the day?,insertion,none
163,We’ll be paying separately.,We’ll be paying separately.,deletion,none
163,We’ll be paying separately.,We’ll be pay up separately.,synonym,paying -> pay up
163,We’ll be paying separately.,pay up We’ll be paying separately.,insertion,inserted: pay up
164,I’ll definitely come back again.,I’ll emphatically come back again.,synonym,definitely -> emphatically
164,I’ll definitely come back again.,I’ll definitely come back again.,deletion,none
164,I’ll definitely come back again.,again. definitely come back I’ll,swap,I’ll <-> again.
165,"Can I get a table for two, please?","Can I get a table for two, please?",deletion,none
165,"Can I get a table for two, please?","Can I get two, table for a please?",swap,"two, <-> a"
165,"Can I get a table for two, please?","adenine Can I get a table for two, please?",insertion,inserted: adenine
166,Do you have a table near the window?,Do you have a table near the window?,deletion,none
166,Do you have a table near the window?,Do coif you have a table near the window?,insertion,inserted: coif
166,Do you have a table near the window?,Do you have a table near the virtually window?,insertion,inserted: virtually
167,Do you have outdoor seating?,Do you deliver outdoor seating?,synonym,have -> deliver
167,Do you have outdoor seating?,Do outdoor have you seating?,swap,you <-> outdoor
167,Do you have outdoor seating?,Do you let outdoor seating?,synonym,have -> let
168,This soup is cold.,This soup is cold.,deletion,none
168,This soup is cold.,This is cold.,deletion,deleted: soup
168,This soup is cold.,This soup is cold. equal,insertion,inserted: equal
169,The service was very slow.,was service The very slow.,swap,The <-> was
169,The service was very slow.,The slow. was very service,swap,slow. <-> service
169,The service was very slow.,The service divine service was very slow.,insertion,inserted: divine service
170,Great atmosphere and friendly staff.,Great and atmosphere friendly staff.,swap,and <-> atmosphere
170,Great atmosphere and friendly staff.,Great favorable atmosphere and friendly staff.,insertion,inserted: favorable
170,Great atmosphere and friendly staff.,Great atmosphere and friendly staff.,deletion,none
171,Can I get another glass of water?,Can I get another mother glass of water?,insertion,inserted: mother
171,Can I get another glass of water?,Can get another glass of water?,deletion,deleted: I
171,Can I get another glass of water?,I Can get another glass of water?,swap,I <-> Can
172,What’s the most popular dish here?,What’s the most popular dishful here?,synonym,dish -> dishful
172,What’s the most popular dish here?,popular the most What’s dish here?,swap,What’s <-> popular
172,What’s the most popular dish here?,What’s popular most the dish here?,swap,popular <-> the
173,What’s the soup of the day?,What’s the soup of the day?,deletion,none
173,What’s the soup of the day?,What’s the of soup the day?,swap,of <-> soup
173,What’s the soup of the day?,What’s the soup of the day?,deletion,none
174,The steak is undercooked.,The steak equal undercooked.,synonym,is -> equal
174,The steak is undercooked.,The personify steak is undercooked.,insertion,inserted: personify
174,The steak is undercooked.,The steak is,deletion,deleted: undercooked.
175,Do you have any daily specials?,Do casual you have any daily specials?,insertion,inserted: casual
175,Do you have any daily specials?,Do you have specials? daily any,swap,any <-> specials?
175,Do you have any daily specials?,Do you have whatever daily specials?,synonym,any -> whatever
176,Do you have any daily specials?,specials? you have any daily Do,swap,specials? <-> Do
176,Do you have any daily specials?,Do you have any feature daily specials?,insertion,inserted: feature
176,Do you have any daily specials?,Do have you any daily specials?,swap,you <-> have
177,This was a fantastic dining experience.,This a fantastic dining experience.,deletion,deleted: was
177,This was a fantastic dining experience.,This was a fantastic dining experience.,deletion,none
177,This was a fantastic dining experience.,This a was fantastic dining experience.,swap,was <-> a
178,We’ve been waiting for 30 minutes.,We’ve been be waiting for 30 minutes.,insertion,inserted: be
178,We’ve been waiting for 30 minutes.,minutes. been waiting for 30 We’ve,swap,minutes. <-> We’ve
178,We’ve been waiting for 30 minutes.,We’ve personify waiting for 30 minutes.,synonym,been -> personify
179,Can I get another glass of water?,Can unity get another glass of water?,synonym,I -> unity
179,Can I get another glass of water?,Can I get another fix glass of water?,insertion,inserted: fix
179,Can I get another glass of water?,Can I get glass another of water?,swap,another <-> glass
180,"That will be all for now, thank you.","That will be for all now, thank you.",swap,for <-> all
180,"That will be all for now, thank you.","That will be all now, thank",deletion,"deleted: for, you."
180,"That will be all for now, thank you.","That will be wholly for now, thank you.",synonym,all -> wholly
181,"That’s perfect, thank you.","That’s perfect, give thanks you.",synonym,thank -> give thanks
181,"That’s perfect, thank you.","That’s perfect, give thanks you.",synonym,thank -> give thanks
181,"That’s perfect, thank you.","That’s perfect, thank give thanks you.",insertion,inserted: give thanks
182,Compliments to the chef!,chef! to the Compliments,swap,chef! <-> Compliments
182,Compliments to the chef!,compliments to the chef!,synonym,Compliments -> compliments
182,Compliments to the chef!,compliment to the chef!,synonym,Compliments -> compliment
183,Our reservation was not honored.,Our reservation follow not honored.,synonym,was -> follow
183,Our reservation was not honored.,Our non reservation was not honored.,insertion,inserted: non
183,Our reservation was not honored.,Our reservation was not honored.,deletion,none
184,Compliments to the chef!,Compliments to the chef! compliment,insertion,inserted: compliment
184,Compliments to the chef!,Compliments to the chef!,deletion,none
184,Compliments to the chef!,Compliments the chef!,deletion,deleted: to
185,Compliments to the chef!,Compliments to the chef!,deletion,none
185,Compliments to the chef!,Compliments to chef!,deletion,deleted: the
185,Compliments to the chef!,Compliments to the chef!,deletion,none
186,"Sure, I’ll wait at the bar.","Sure, wait I’ll at the bar.",swap,I’ll <-> wait
186,"Sure, I’ll wait at the bar.","Sure, I’ll wait at the bar. atomic number 85",insertion,inserted: atomic number 85
186,"Sure, I’ll wait at the bar.","Sure, I’ll wait atomic number 85 the bar.",synonym,at -> atomic number 85
187,Do you take reservations?,Do you take call for reservations?,insertion,inserted: call for
187,Do you take reservations?,Do take you reservations?,swap,take <-> you
187,Do you take reservations?,Do you take reservations?,deletion,none
188,The food was delicious.,washington The food was delicious.,insertion,inserted: washington
188,The food was delicious.,The food was make up delicious.,insertion,inserted: make up
188,The food was delicious.,The solid food food was delicious.,insertion,inserted: solid food
189,I'd like to order a vegetarian dish.,I'd like to order a vegetarian,deletion,deleted: dish.
189,I'd like to order a vegetarian dish.,I'd like to order a vegetarian axerophthol dish.,insertion,inserted: axerophthol
189,I'd like to order a vegetarian dish.,I'd fiat like to order a vegetarian dish.,insertion,inserted: fiat
190,This isn’t what I ordered.,This isn’t what one ordered.,synonym,I -> one
190,This isn’t what I ordered.,This isn’t what I ordered.,deletion,none
190,This isn’t what I ordered.,This I what isn’t ordered.,swap,isn’t <-> I
191,"That’s perfect, thank you.","give thanks That’s perfect, thank you.",insertion,inserted: give thanks
191,"That’s perfect, thank you.","perfect, That’s thank you.",swap,"perfect, <-> That’s"
191,"That’s perfect, thank you.","That’s thank perfect, you.",swap,"thank <-> perfect,"
192,I'd like to order a vegetarian dish.,I'd comparable to order a vegetarian dish.,synonym,like -> comparable
192,I'd like to order a vegetarian dish.,I'd like to order vegetarian,deletion,"deleted: a, dish."
192,I'd like to order a vegetarian dish.,I'd like to order a vegetarian dish.,deletion,none
193,The service was very slow.,The avail was very slow.,synonym,service -> avail
193,The service was very slow.,The service was very slow.,deletion,none
193,The service was very slow.,The service was very slow.,deletion,none
194,"That will be all for now, thank you.","That will be cost all for now, thank you.",insertion,inserted: cost
194,"That will be all for now, thank you.","That will be all for now, thank you.",deletion,none
194,"That will be all for now, thank you.","That will be all for give thanks now, thank you.",insertion,inserted: give thanks
195,Our reservation was not honored.,Our reservation not honored.,deletion,deleted: was
195,Our reservation was not honored.,Our reservation was non honored.,synonym,not -> non
195,Our reservation was not honored.,Our qualification was not honored.,synonym,reservation -> qualification
196,We'd like to order now.,We'd like to enjoin now.,synonym,order -> enjoin
196,We'd like to order now.,We'd like to prescribe now.,synonym,order -> prescribe
196,We'd like to order now.,We'd corresponding to order now.,synonym,like -> corresponding
197,Is gratuity included in the bill?,Is gratuity included atomic number 49 the bill?,synonym,in -> atomic number 49
197,Is gratuity included in the bill?,Is pourboire included in the bill?,synonym,gratuity -> pourboire
197,Is gratuity included in the bill?,Is gratuity included in bill? the,swap,the <-> bill?
198,The service was very slow.,The exist service was very slow.,insertion,inserted: exist
198,The service was very slow.,The service comprise very slow.,synonym,was -> comprise
198,The service was very slow.,very service was The slow.,swap,very <-> The
199,Thank you for the excellent service.,Thank you for first-class the excellent service.,insertion,inserted: first-class
199,Thank you for the excellent service.,you for the excellent service.,deletion,deleted: Thank
199,Thank you for the excellent service.,Thank you for the excellent service. first-class,insertion,inserted: first-class
