original_text,augmented_text,augmentation_type,short_description_of_changed_words,label
Compliments to the chef!,Compliments to chef!,deletion,deleted: the,praise
Compliments to the chef!,Compliments to chef! the,swap,chef! <-> the,praise
Compliments to the chef!,Compliments chef! the to,swap,to <-> chef!,praise
"Yes, we have a reservation at 7.","Yes, we have a reservation at 7.",deletion,none,confirmation
"Yes, we have a reservation at 7.","Yes, we have a reservation at antiophthalmic factor 7.",insertion,inserted: antiophthalmic factor,confirmation
"Yes, we have a reservation at 7.","Yes, we have a 7. at reservation",swap,reservation <-> 7.,confirmation
I'd like to order a vegetarian dish.,I'd like dish. order a vegetarian to,swap,to <-> dish.,request
I'd like to order a vegetarian dish.,I'd like to order ilk a vegetarian dish.,insertion,inserted: ilk,request
I'd like to order a vegetarian dish.,I'd like to adenine order a vegetarian dish.,insertion,inserted: adenine,request
We’ll be paying separately.,We’ll be remunerative separately.,synonym,paying -> remunerative,confirmation
We’ll be paying separately.,We’ll be paying cost separately.,insertion,inserted: cost,confirmation
We’ll be paying separately.,give We’ll be paying separately.,insertion,inserted: give,confirmation
Thank you for the excellent service.,Thank you for the excellent service. splendid,insertion,inserted: splendid,praise
Thank you for the excellent service.,Thank you for the excellent service.,deletion,none,praise
Thank you for the excellent service.,Thank for you the excellent service.,swap,you <-> for,praise
I found a hair in my food.,I adenine found a hair in my food.,insertion,inserted: adenine,complaint
I found a hair in my food.,food. found a hair in my I,swap,I <-> food.,complaint
I found a hair in my food.,I found a hair pilus in my food.,insertion,inserted: pilus,complaint
The service was very slow.,The service was very slow.,deletion,none,complaint
The service was very slow.,The service was slow.,deletion,deleted: very,complaint
The service was very slow.,The service was very slow.,deletion,none,complaint
Can I get another glass of water?,sack I get another glass of water?,synonym,Can -> sack,request
Can I get another glass of water?,Can I get some other glass of water?,synonym,another -> some other,request
Can I get another glass of water?,Can I get another glass of water?,deletion,none,request
Great atmosphere and friendly staff.,groovy Great atmosphere and friendly staff.,insertion,inserted: groovy,praise
Great atmosphere and friendly staff.,staff. atmosphere and friendly Great,swap,Great <-> staff.,praise
Great atmosphere and friendly staff.,favorable Great atmosphere and friendly staff.,insertion,inserted: favorable,praise
I’ll definitely come back again.,definitely I’ll come back again.,swap,I’ll <-> definitely,praise
I’ll definitely come back again.,definitely come back again.,deletion,deleted: I’ll,praise
I’ll definitely come back again.,I’ll definitely hail back again.,synonym,come -> hail,praise
The food was delicious.,was food The delicious.,swap,was <-> The,praise
The food was delicious.,The food was,deletion,deleted: delicious.,praise
The food was delicious.,The food was delicious.,deletion,none,praise
Do you have any gluten-free options?,Do whatever you have any gluten-free options?,insertion,inserted: whatever,request
Do you have any gluten-free options?,Do you have whatsoever gluten-free options?,synonym,any -> whatsoever,request
Do you have any gluten-free options?,Do you have whatever gluten-free options?,synonym,any -> whatever,request
"Yes, I’d like the salmon, please.","Yes, I’d wish the salmon, please.",synonym,like -> wish,confirmation
"Yes, I’d like the salmon, please.","Yes, I’d like the salmon, please.",deletion,none,confirmation
"Yes, I’d like the salmon, please.","Yes, like I’d the salmon, please.",swap,I’d <-> like,confirmation
"Can I get a table for two, please?","Can I get a table tabularize for two, please?",insertion,inserted: tabularize,request
"Can I get a table for two, please?","Can I fix a table for two, please?",synonym,get -> fix,request
"Can I get a table for two, please?","Can ane get a table for two, please?",synonym,I -> ane,request
Do you have a table near the window?,Do you window? a table near the have,swap,window? <-> have,request
Do you have a table near the window?,Do you have a table near the window?,deletion,none,request
Do you have a table near the window?,Do you have a mesa near the window?,synonym,table -> mesa,request
"Can I get a table for two, please?","Can I get a table for two, please?",deletion,none,request
"Can I get a table for two, please?","get I Can a table for two, please?",swap,Can <-> get,request
"Can I get a table for two, please?","Can I get a table for two, please?",deletion,none,request
We'd like to order now.,We'd comparable to order now.,synonym,like -> comparable,request
We'd like to order now.,We'd like to order the likes of now.,insertion,inserted: the likes of,request
We'd like to order now.,We'd like to say now.,synonym,order -> say,request
"Yes, we’re ready to order.","Yes, ready order.",deletion,"deleted: we’re, to",confirmation
"Yes, we’re ready to order.","Yes, ready we’re to order.",swap,ready <-> we’re,confirmation
"Yes, we’re ready to order.","Yes, we’re ready to order.",deletion,none,confirmation
Is gratuity included in the bill?,Is gratuity inward included in the bill?,insertion,inserted: inward,inquiry
Is gratuity included in the bill?,Is gratuity included in the bill?,deletion,none,inquiry
Is gratuity included in the bill?,gratuity Is included in the bill?,swap,Is <-> gratuity,inquiry
"Can I get a table for two, please?","Can I get table a for two, please?",swap,a <-> table,request
"Can I get a table for two, please?","table I get a Can for two, please?",swap,table <-> Can,request
"Can I get a table for two, please?","Can I get a mesa for two, please?",synonym,table -> mesa,request
The pasta was amazing!,The pasta represent was amazing!,insertion,inserted: represent,praise
The pasta was amazing!,The pasta was amazing!,deletion,none,praise
The pasta was amazing!,The comprise pasta was amazing!,insertion,inserted: comprise,praise
Best restaurant in town!,Best eatery in town!,synonym,restaurant -> eatery,praise
Best restaurant in town!,Best restaurant in town! unspoiled,insertion,inserted: unspoiled,praise
Best restaurant in town!,Best eating house in town!,synonym,restaurant -> eating house,praise
This was a fantastic dining experience.,This fantastical was a fantastic dining experience.,insertion,inserted: fantastical,praise
This was a fantastic dining experience.,This angstrom unit was a fantastic dining experience.,insertion,inserted: angstrom unit,praise
This was a fantastic dining experience.,This fantastic a was dining experience.,swap,was <-> fantastic,praise
The food was delicious.,The food equal delicious.,synonym,was -> equal,praise
The food was delicious.,food The was delicious.,swap,The <-> food,praise
The food was delicious.,food delicious.,deletion,"deleted: The, was",praise
Do you take reservations?,Do reservations? take you,swap,you <-> reservations?,inquiry
Do you take reservations?,Do you take reservations?,deletion,none,inquiry
Do you take reservations?,take you Do reservations?,swap,take <-> Do,inquiry
Do you have a table near the window?,Do you have a near the window?,deletion,deleted: table,request
Do you have a table near the window?,Do you have a table near the window?,deletion,none,request
Do you have a table near the window?,Do you have a table near window?,deletion,deleted: the,request
"Sure, I’ll wait at the bar.","Sure, I’ll the at wait bar.",swap,the <-> wait,confirmation
"Sure, I’ll wait at the bar.","Sure, bar. wait at the I’ll",swap,bar. <-> I’ll,confirmation
"Sure, I’ll wait at the bar.","Sure, I’ll wait at the bar. postponement",insertion,inserted: postponement,confirmation
"Yes, everything’s great.","Yes, everything’s great.",deletion,none,confirmation
"Yes, everything’s great.","Yes, everything’s great.",synonym,,confirmation
"Yes, everything’s great.","Yes, great. everything’s",swap,great. <-> everything’s,confirmation
Great atmosphere and friendly staff.,staff. atmosphere and friendly Great,swap,Great <-> staff.,praise
Great atmosphere and friendly staff.,Great atmosphere aura and friendly staff.,insertion,inserted: aura,praise
Great atmosphere and friendly staff.,bang-up atmosphere and friendly staff.,synonym,Great -> bang-up,praise
The food doesn’t taste fresh.,The intellectual nourishment doesn’t taste fresh.,synonym,food -> intellectual nourishment,complaint
The food doesn’t taste fresh.,The food doesn’t taste sense of taste fresh.,insertion,inserted: sense of taste,complaint
The food doesn’t taste fresh.,The food doesn’t try out fresh.,synonym,taste -> try out,complaint
Is gratuity included in the bill?,Is the included in gratuity bill?,swap,the <-> gratuity,inquiry
Is gratuity included in the bill?,Is pourboire included in the bill?,synonym,gratuity -> pourboire,inquiry
Is gratuity included in the bill?,Is gratuity included in the embody bill?,insertion,inserted: embody,inquiry
Do you have outdoor seating?,Do you have outdoor seating?,deletion,none,inquiry
Do you have outdoor seating?,Do have outdoor seating?,deletion,deleted: you,inquiry
Do you have outdoor seating?,Do have you outdoor seating?,swap,have <-> you,inquiry
Our reservation was not honored.,reservation was not honored.,deletion,deleted: Our,complaint
Our reservation was not honored.,Our not was reservation honored.,swap,not <-> reservation,complaint
Our reservation was not honored.,was not honored.,deletion,"deleted: Our, reservation",complaint
"That’s perfect, thank you.","That’s perfect, thank give thanks you.",insertion,inserted: give thanks,confirmation
"That’s perfect, thank you.","That’s perfect, thank give thanks you.",insertion,inserted: give thanks,confirmation
"That’s perfect, thank you.","That’s perfect, thank you.",insertion,none,confirmation
"Yes, I’d like the salmon, please.","Yes, I’d alike the salmon, please.",synonym,like -> alike,confirmation
"Yes, I’d like the salmon, please.","Yes, I’d similar the salmon, please.",synonym,like -> similar,confirmation
"Yes, I’d like the salmon, please.","Yes, I’d like the please. salmon,",swap,"please. <-> salmon,",confirmation
We had a lovely time.,We had angstrom lovely time.,synonym,a -> angstrom,praise
We had a lovely time.,We had a lovely time.,deletion,none,praise
We had a lovely time.,suffer We had a lovely time.,insertion,inserted: suffer,praise
"Sure, I’ll wait at the bar.","Sure, I’ll wait at the bar.",deletion,none,confirmation
"Sure, I’ll wait at the bar.","Sure, I’ll wait at the bar.",deletion,none,confirmation
"Sure, I’ll wait at the bar.","Sure, I’ll await at the bar.",synonym,wait -> await,confirmation
Can I see the wine list?,Can I see list? wine the,swap,list? <-> the,inquiry
Can I see the wine list?,Can I the see wine list?,swap,see <-> the,inquiry
Can I see the wine list?,butt Can I see the wine list?,insertion,inserted: butt,inquiry
The steak is undercooked.,The undercooked. is steak,swap,steak <-> undercooked.,complaint
The steak is undercooked.,steak The is undercooked.,swap,steak <-> The,complaint
The steak is undercooked.,The steak is undercooked.,deletion,none,complaint
"Can we have the bill, please?","Can we please? the bill, have",swap,have <-> please?,request
"Can we have the bill, please?","Can we give birth the bill, please?",synonym,have -> give birth,request
"Can we have the bill, please?","stimulate Can we have the bill, please?",insertion,inserted: stimulate,request
Could you bring us the dessert menu?,Could you bring united states the dessert menu?,synonym,us -> united states,request
Could you bring us the dessert menu?,Could bring you us the dessert menu?,swap,you <-> bring,request
Could you bring us the dessert menu?,Could make for you bring us the dessert menu?,insertion,inserted: make for,request
"Sure, I’ll wait at the bar.","Sure, I’ll wait astatine at the bar.",insertion,inserted: astatine,confirmation
"Sure, I’ll wait at the bar.","Sure, I’ll wait at atomic number 85 the bar.",insertion,inserted: atomic number 85,confirmation
"Sure, I’ll wait at the bar.","Sure, I’ll wait waiting at the bar.",insertion,inserted: waiting,confirmation
I’ll definitely come back again.,I’ll definitely come back get again.,insertion,inserted: get,praise
I’ll definitely come back again.,I’ll definitely come back again.,deletion,none,praise
I’ll definitely come back again.,I’ll definitely come back again. rachis,insertion,inserted: rachis,praise
What’s the soup of the day?,What’s the soup of the day?,synonym,,inquiry
What’s the soup of the day?,What’s soup of day?,deletion,deleted: the,inquiry
What’s the soup of the day?,What’s the soup of the day?,insertion,none,inquiry
We’ll be paying separately.,We’ll be paying separately.,deletion,none,confirmation
We’ll be paying separately.,We’ll be pay up separately.,synonym,paying -> pay up,confirmation
We’ll be paying separately.,pay up We’ll be paying separately.,insertion,inserted: pay up,confirmation
I’ll definitely come back again.,I’ll emphatically come back again.,synonym,definitely -> emphatically,praise
I’ll definitely come back again.,I’ll definitely come back again.,deletion,none,praise
I’ll definitely come back again.,again. definitely come back I’ll,swap,I’ll <-> again.,praise
"Can I get a table for two, please?","Can I get a table for two, please?",deletion,none,request
"Can I get a table for two, please?","Can I get two, table for a please?",swap,"two, <-> a",request
"Can I get a table for two, please?","adenine Can I get a table for two, please?",insertion,inserted: adenine,request
Do you have a table near the window?,Do you have a table near the window?,deletion,none,request
Do you have a table near the window?,Do coif you have a table near the window?,insertion,inserted: coif,request
Do you have a table near the window?,Do you have a table near the virtually window?,insertion,inserted: virtually,request
Do you have outdoor seating?,Do you deliver outdoor seating?,synonym,have -> deliver,inquiry
Do you have outdoor seating?,Do outdoor have you seating?,swap,you <-> outdoor,inquiry
Do you have outdoor seating?,Do you let outdoor seating?,synonym,have -> let,inquiry
This soup is cold.,This soup is cold.,deletion,none,complaint
This soup is cold.,This is cold.,deletion,deleted: soup,complaint
This soup is cold.,This soup is cold. equal,insertion,inserted: equal,complaint
The service was very slow.,was service The very slow.,swap,The <-> was,complaint
The service was very slow.,The slow. was very service,swap,slow. <-> service,complaint
The service was very slow.,The service divine service was very slow.,insertion,inserted: divine service,complaint
Great atmosphere and friendly staff.,Great and atmosphere friendly staff.,swap,and <-> atmosphere,praise
Great atmosphere and friendly staff.,Great favorable atmosphere and friendly staff.,insertion,inserted: favorable,praise
Great atmosphere and friendly staff.,Great atmosphere and friendly staff.,deletion,none,praise
Can I get another glass of water?,Can I get another mother glass of water?,insertion,inserted: mother,request
Can I get another glass of water?,Can get another glass of water?,deletion,deleted: I,request
Can I get another glass of water?,I Can get another glass of water?,swap,I <-> Can,request
What’s the most popular dish here?,What’s the most popular dishful here?,synonym,dish -> dishful,inquiry
What’s the most popular dish here?,popular the most What’s dish here?,swap,What’s <-> popular,inquiry
What’s the most popular dish here?,What’s popular most the dish here?,swap,popular <-> the,inquiry
What’s the soup of the day?,What’s the soup of the day?,deletion,none,inquiry
What’s the soup of the day?,What’s the of soup the day?,swap,of <-> soup,inquiry
What’s the soup of the day?,What’s the soup of the day?,deletion,none,inquiry
The steak is undercooked.,The steak equal undercooked.,synonym,is -> equal,complaint
The steak is undercooked.,The personify steak is undercooked.,insertion,inserted: personify,complaint
The steak is undercooked.,The steak is,deletion,deleted: undercooked.,complaint
Do you have any daily specials?,Do casual you have any daily specials?,insertion,inserted: casual,inquiry
Do you have any daily specials?,Do you have specials? daily any,swap,any <-> specials?,inquiry
Do you have any daily specials?,Do you have whatever daily specials?,synonym,any -> whatever,inquiry
Do you have any daily specials?,specials? you have any daily Do,swap,specials? <-> Do,inquiry
Do you have any daily specials?,Do you have any feature daily specials?,insertion,inserted: feature,inquiry
Do you have any daily specials?,Do have you any daily specials?,swap,you <-> have,inquiry
This was a fantastic dining experience.,This a fantastic dining experience.,deletion,deleted: was,praise
This was a fantastic dining experience.,This was a fantastic dining experience.,deletion,none,praise
This was a fantastic dining experience.,This a was fantastic dining experience.,swap,was <-> a,praise
We’ve been waiting for 30 minutes.,We’ve been be waiting for 30 minutes.,insertion,inserted: be,complaint
We’ve been waiting for 30 minutes.,minutes. been waiting for 30 We’ve,swap,minutes. <-> We’ve,complaint
We’ve been waiting for 30 minutes.,We’ve personify waiting for 30 minutes.,synonym,been -> personify,complaint
Can I get another glass of water?,Can unity get another glass of water?,synonym,I -> unity,request
Can I get another glass of water?,Can I get another fix glass of water?,insertion,inserted: fix,request
Can I get another glass of water?,Can I get glass another of water?,swap,another <-> glass,request
"That will be all for now, thank you.","That will be for all now, thank you.",swap,for <-> all,confirmation
"That will be all for now, thank you.","That will be all now, thank",deletion,"deleted: for, you.",confirmation
"That will be all for now, thank you.","That will be wholly for now, thank you.",synonym,all -> wholly,confirmation
"That’s perfect, thank you.","That’s perfect, give thanks you.",synonym,thank -> give thanks,confirmation
"That’s perfect, thank you.","That’s perfect, give thanks you.",synonym,thank -> give thanks,confirmation
"That’s perfect, thank you.","That’s perfect, thank give thanks you.",insertion,inserted: give thanks,confirmation
Compliments to the chef!,chef! to the Compliments,swap,chef! <-> Compliments,praise
Compliments to the chef!,compliments to the chef!,synonym,Compliments -> compliments,praise
Compliments to the chef!,compliment to the chef!,synonym,Compliments -> compliment,praise
Our reservation was not honored.,Our reservation follow not honored.,synonym,was -> follow,complaint
Our reservation was not honored.,Our non reservation was not honored.,insertion,inserted: non,complaint
Our reservation was not honored.,Our reservation was not honored.,deletion,none,complaint
Compliments to the chef!,Compliments to the chef! compliment,insertion,inserted: compliment,praise
Compliments to the chef!,Compliments to the chef!,deletion,none,praise
Compliments to the chef!,Compliments the chef!,deletion,deleted: to,praise
Compliments to the chef!,Compliments to the chef!,deletion,none,praise
Compliments to the chef!,Compliments to chef!,deletion,deleted: the,praise
Compliments to the chef!,Compliments to the chef!,deletion,none,praise
"Sure, I’ll wait at the bar.","Sure, wait I’ll at the bar.",swap,I’ll <-> wait,confirmation
"Sure, I’ll wait at the bar.","Sure, I’ll wait at the bar. atomic number 85",insertion,inserted: atomic number 85,confirmation
"Sure, I’ll wait at the bar.","Sure, I’ll wait atomic number 85 the bar.",synonym,at -> atomic number 85,confirmation
Do you take reservations?,Do you take call for reservations?,insertion,inserted: call for,inquiry
Do you take reservations?,Do take you reservations?,swap,take <-> you,inquiry
Do you take reservations?,Do you take reservations?,deletion,none,inquiry
The food was delicious.,washington The food was delicious.,insertion,inserted: washington,praise
The food was delicious.,The food was make up delicious.,insertion,inserted: make up,praise
The food was delicious.,The solid food food was delicious.,insertion,inserted: solid food,praise
I'd like to order a vegetarian dish.,I'd like to order a vegetarian,deletion,deleted: dish.,request
I'd like to order a vegetarian dish.,I'd like to order a vegetarian axerophthol dish.,insertion,inserted: axerophthol,request
I'd like to order a vegetarian dish.,I'd fiat like to order a vegetarian dish.,insertion,inserted: fiat,request
This isn’t what I ordered.,This isn’t what one ordered.,synonym,I -> one,complaint
This isn’t what I ordered.,This isn’t what I ordered.,deletion,none,complaint
This isn’t what I ordered.,This I what isn’t ordered.,swap,isn’t <-> I,complaint
"That’s perfect, thank you.","give thanks That’s perfect, thank you.",insertion,inserted: give thanks,confirmation
"That’s perfect, thank you.","perfect, That’s thank you.",swap,"perfect, <-> That’s",confirmation
"That’s perfect, thank you.","That’s thank perfect, you.",swap,"thank <-> perfect,",confirmation
I'd like to order a vegetarian dish.,I'd comparable to order a vegetarian dish.,synonym,like -> comparable,request
I'd like to order a vegetarian dish.,I'd like to order vegetarian,deletion,"deleted: a, dish.",request
I'd like to order a vegetarian dish.,I'd like to order a vegetarian dish.,deletion,none,request
The service was very slow.,The avail was very slow.,synonym,service -> avail,complaint
The service was very slow.,The service was very slow.,deletion,none,complaint
The service was very slow.,The service was very slow.,deletion,none,complaint
"That will be all for now, thank you.","That will be cost all for now, thank you.",insertion,inserted: cost,confirmation
"That will be all for now, thank you.","That will be all for now, thank you.",deletion,none,confirmation
"That will be all for now, thank you.","That will be all for give thanks now, thank you.",insertion,inserted: give thanks,confirmation
Our reservation was not honored.,Our reservation not honored.,deletion,deleted: was,complaint
Our reservation was not honored.,Our reservation was non honored.,synonym,not -> non,complaint
Our reservation was not honored.,Our qualification was not honored.,synonym,reservation -> qualification,complaint
We'd like to order now.,We'd like to enjoin now.,synonym,order -> enjoin,request
We'd like to order now.,We'd like to prescribe now.,synonym,order -> prescribe,request
We'd like to order now.,We'd corresponding to order now.,synonym,like -> corresponding,request
Is gratuity included in the bill?,Is gratuity included atomic number 49 the bill?,synonym,in -> atomic number 49,inquiry
Is gratuity included in the bill?,Is pourboire included in the bill?,synonym,gratuity -> pourboire,inquiry
Is gratuity included in the bill?,Is gratuity included in bill? the,swap,the <-> bill?,inquiry
The service was very slow.,The exist service was very slow.,insertion,inserted: exist,complaint
The service was very slow.,The service comprise very slow.,synonym,was -> comprise,complaint
The service was very slow.,very service was The slow.,swap,very <-> The,complaint
Thank you for the excellent service.,Thank you for first-class the excellent service.,insertion,inserted: first-class,praise
Thank you for the excellent service.,you for the excellent service.,deletion,deleted: Thank,praise
Thank you for the excellent service.,Thank you for the excellent service. first-class,insertion,inserted: first-class,praise
